Start:18:29 09-12
Header Write:18:29 09-12
Loop:18:29:43 09-12 Lat:0 Long:0
Loop:18:29:45 09-12 Lat:0 Long:0
Loop:18:29:47 09-12 Lat:0 Long:0
Loop:18:29:49 09-12 Lat:0 Long:0
Loop:18:29:52 09-12 Lat:0 Long:0
Coord-Write:18:29 09-12 Lat:42.691180002 Long:23.344751763
Loop:18:29:54 09-12 Lat:42.691180002 Long:23.344751763
Coord-Write:18:29 09-12 Lat:42.691192469 Long:23.344973465
Loop:18:29:56 09-12 Lat:42.691192469 Long:23.344973465
Coord-Write:18:29 09-12 Lat:42.69119718 Long:23.345139155
Loop:18:29:58 09-12 Lat:42.69119718 Long:23.345139155
Coord-Write:18:29 09-12 Lat:42.691198438 Long:23.345102244
Loop:18:30:00 09-12 Lat:42.691198438 Long:23.345102244
Coord-Write:18:30 09-12 Lat:42.691197524 Long:23.34504446
Loop:18:30:02 09-12 Lat:42.691197524 Long:23.34504446
Coord-Write:18:30 09-12 Lat:42.691199795 Long:23.345002713
Loop:18:30:04 09-12 Lat:42.691199795 Long:23.345002713
Coord-Write:18:30 09-12 Lat:42.691204238 Long:23.34498184
Loop:18:30:06 09-12 Lat:42.691204238 Long:23.34498184
Coord-Write:18:30 09-12 Lat:42.69120589 Long:23.344943397
Loop:18:30:08 09-12 Lat:42.69120589 Long:23.344943397
Loop:18:30:10 09-12 Lat:42.69120589 Long:23.344943397
Loop:18:30:12 09-12 Lat:42.69120589 Long:23.344943397
Coord-Write:18:30 09-12 Lat:42.691208702 Long:23.344930661
Loop:18:30:14 09-12 Lat:42.691208702 Long:23.344930661
Loop:18:30:16 09-12 Lat:42.691208702 Long:23.344930661
Loop:18:30:18 09-12 Lat:42.691208702 Long:23.344930661
Loop:18:30:20 09-12 Lat:42.691208702 Long:23.344930661
Loop:18:30:22 09-12 Lat:42.691208702 Long:23.344930661
Coord-Write:18:30 09-12 Lat:42.691206529 Long:23.344909788
Loop:18:30:24 09-12 Lat:42.691206529 Long:23.344909788
Loop:18:30:26 09-12 Lat:42.691206529 Long:23.344909788
Loop:18:30:28 09-12 Lat:42.691206529 Long:23.344909788
Loop:18:30:30 09-12 Lat:42.691206529 Long:23.344909788
Loop:18:30:33 09-12 Lat:42.691206529 Long:23.344909788
Loop:18:30:35 09-12 Lat:42.691206529 Long:23.344909788
Loop:18:30:37 09-12 Lat:42.691206529 Long:23.344909788
Loop:18:30:39 09-12 Lat:42.691206529 Long:23.344909788
Loop:18:30:41 09-12 Lat:42.691206529 Long:23.344909788
Loop:18:30:43 09-12 Lat:42.691206529 Long:23.344909788
Coord-Write:18:30 09-12 Lat:42.691218355 Long:23.344916156
Loop:18:30:45 09-12 Lat:42.691218355 Long:23.344916156
Loop:18:30:47 09-12 Lat:42.691218355 Long:23.344916156
Loop:18:30:49 09-12 Lat:42.691218355 Long:23.344916156
Loop:18:30:51 09-12 Lat:42.691218355 Long:23.344916156
Loop:18:30:53 09-12 Lat:42.691218355 Long:23.344916156
Loop:18:30:55 09-12 Lat:42.691218355 Long:23.344916156
Coord-Write:18:30 09-12 Lat:42.691217884 Long:23.344950002
Loop:18:30:57 09-12 Lat:42.691217884 Long:23.344950002
Coord-Write:18:30 09-12 Lat:42.691229633 Long:23.344988683
Loop:18:30:59 09-12 Lat:42.691229633 Long:23.344988683
Coord-Write:18:30 09-12 Lat:42.691235778 Long:23.345022529
Loop:18:31:01 09-12 Lat:42.691235778 Long:23.345022529
Loop:18:31:03 09-12 Lat:42.691235778 Long:23.345022529
Loop:18:31:05 09-12 Lat:42.691235778 Long:23.345022529
Loop:18:31:07 09-12 Lat:42.691235778 Long:23.345022529
Loop:18:31:09 09-12 Lat:42.691235778 Long:23.345022529
Loop:18:31:11 09-12 Lat:42.691235778 Long:23.345022529
Coord-Write:18:31 09-12 Lat:42.691231334 Long:23.345043402
Loop:18:31:13 09-12 Lat:42.691231334 Long:23.345043402
Coord-Write:18:31 09-12 Lat:42.691240517 Long:23.345062743
Loop:18:31:15 09-12 Lat:42.691240517 Long:23.345062743
Loop:18:31:17 09-12 Lat:42.691240517 Long:23.345062743
Loop:18:31:19 09-12 Lat:42.691240517 Long:23.345062743
