pkey,timestamp,lat,long,alt,speed,climb,mode,heading
1,2014-11-26 01:57:35.772081,42.690499456,23.343571108,594.526,0.395,-0.024,3,299.2258
2,2014-11-26 01:57:36.849300,42.690510909,23.343548702,594.622,0.673,-0.013,3,271.0458
3,2014-11-26 01:57:37.888194,42.690510909,23.343548702,594.622,0.673,-0.013,3,271.0458
4,2014-11-26 01:57:38.931542,42.690515746,23.343526297,594.039,0.649,-0.013,3,286.2739
5,2014-11-26 01:57:39.968898,42.690515746,23.343526297,594.039,0.673,-0.013,3,271.0458
6,2014-11-26 02:00:47.249026,42.690557595,23.343577476,602.273,0.0,0.0,3,0.0
7,2014-11-26 02:00:49.268908,42.690566629,23.343566273,602.66,0.17,-0.048,3,137.5488
8,2014-11-26 02:00:50.311054,42.690572233,23.343571108,601.985,0.395,0.025,3,93.3326
9,2014-11-26 02:01:47.831906,42.690621356,23.343558372,603.443,0.17,0.048,3,254.9317
10,2014-11-26 02:01:49.848183,42.69061474,23.343558372,602.765,0.12,-0.036,3,286.3106
11,2014-11-26 02:03:47.131597,42.690508717,23.343558137,,0.465,,2,178.0647
12,2014-11-26 02:03:48.244969,42.690506298,23.343569339,,0.375,,2,151.2966
13,2014-11-26 02:03:48.383016,42.690506298,23.343569339,,0.375,,2,151.2966
14,2014-11-26 02:03:49.006298,42.690499682,23.343569339,,0.17,,2,137.5488
15,2014-11-26 02:03:49.147270,42.690499682,23.343569339,,0.17,,2,137.5488
16,2014-11-26 02:03:49.291634,42.690499682,23.343569339,,0.17,,2,137.5488
17,2014-11-26 02:03:49.439426,42.690499682,23.343569339,,0.17,,2,137.5488
18,2014-11-26 02:03:49.588694,42.690499682,23.343569339,,0.17,,2,137.5488
19,2014-11-26 02:03:49.731995,42.690499682,23.343569339,,0.17,,2,137.5488
20,2014-11-26 02:03:49.882497,42.690499682,23.343569339,,0.17,,2,137.5488
21,2014-11-26 02:03:50.029195,42.690499682,23.343569339,,0.17,,2,137.5488
22,2014-11-26 02:03:50.174416,42.690499682,23.343569339,,0.17,,2,137.5488
23,2014-11-26 02:03:50.318887,42.690499682,23.343569339,,0.17,,2,137.5488
24,2014-11-26 02:03:50.469414,42.690499682,23.343569339,,0.17,,2,137.5488
25,2014-11-26 02:03:50.616382,42.690499682,23.343569339,,0.279,,2,124.718
26,2014-11-26 02:03:50.764645,42.690499682,23.343569339,,0.279,,2,124.718
27,2014-11-26 02:03:50.906038,42.690499682,23.343569339,,0.279,,2,124.718
28,2014-11-26 02:03:51.054124,42.690499682,23.343569339,,0.279,,2,124.718
29,2014-11-26 02:03:51.201037,42.690499682,23.343569339,,0.279,,2,124.718
30,2014-11-26 02:03:51.351659,42.690499682,23.343569339,,0.279,,2,87.8145
31,2014-11-26 02:03:51.495788,42.690499682,23.343569339,,0.279,,2,87.8145
32,2014-11-26 02:03:51.645217,42.690499682,23.343569339,,0.279,,2,87.8145
33,2014-11-26 02:03:51.793372,42.690511902,23.343574174,,0.302,,2,44.9866
34,2014-11-26 02:03:51.942665,42.690511902,23.343574174,,0.302,,2,44.9866
35,2014-11-26 02:03:52.081707,42.690511902,23.343574174,,0.302,,2,44.9866
36,2014-11-26 02:03:52.227363,42.690511902,23.343574174,,0.302,,2,44.9866
37,2014-11-26 02:03:52.370942,42.690511902,23.343574174,,0.302,,2,44.9866
38,2014-11-26 02:03:52.513803,42.690511902,23.343574174,,0.302,,2,44.9866
39,2014-11-26 02:03:52.658075,42.690511902,23.343574174,,0.302,,2,44.9866
40,2014-11-26 02:03:52.804745,42.690511902,23.343574174,,0.302,,2,44.9866
41,2014-11-26 02:03:52.949821,42.690511902,23.343574174,,0.302,,2,44.9866
42,2014-11-26 02:03:53.099687,42.690511902,23.343574174,,0.177,,2,16.2714
43,2014-11-26 02:03:53.238699,42.690511902,23.343574174,,0.177,,2,16.2714
44,2014-11-26 02:03:53.383930,42.690511902,23.343574174,,0.177,,2,16.2714
45,2014-11-26 02:03:53.529347,42.690511902,23.343574174,,0.177,,2,16.2714
46,2014-11-26 02:03:53.672251,42.690511902,23.343574174,,0.0,,2,0.0
47,2014-11-26 02:03:53.818949,42.690511902,23.343574174,,0.0,,2,0.0
48,2014-11-26 02:03:53.963654,42.690511902,23.343574174,,0.0,,2,0.0
49,2014-11-26 02:03:54.107413,42.690511902,23.343574174,,0.0,,2,0.0
50,2014-11-26 02:03:54.252969,42.690511902,23.343574174,,0.0,,2,0.0
51,2014-11-26 02:03:54.393724,42.690511902,23.343574174,,0.0,,2,0.0
52,2014-11-26 02:03:54.541564,42.690511902,23.343574174,,0.0,,2,0.0
53,2014-11-26 02:03:54.688466,42.690511902,23.343574174,,0.177,,2,196.2714
54,2014-11-26 02:05:59.752988,42.690585484,23.343540801,597.439,0.0,0.0,3,0.0
55,2014-11-26 02:06:02.105218,42.690585484,23.343540801,597.439,0.0,0.0,3,0.0
56,2014-11-26 02:06:03.262673,42.690585484,23.343540801,597.439,0.0,0.0,3,0.0
57,2014-11-26 02:06:04.305296,42.690585484,23.343540801,597.439,0.0,0.0,3,0.0
58,2014-11-26 02:06:08.085263,42.690585484,23.343540801,597.439,0.0,0.0,3,0.0
59,2014-11-26 02:06:09.132861,42.690585484,23.343540801,597.439,0.0,0.0,3,0.0
60,2014-11-26 02:06:10.176023,42.690585484,23.343540801,597.439,0.0,0.0,3,0.0
61,2014-11-26 02:06:11.213947,42.690585484,23.343540801,597.439,0.0,0.0,3,0.0
62,2014-11-26 02:11:48.748688,42.690533471,23.343598583,587.48,0.279,0.012,3,267.8145
63,2014-11-26 02:11:51.247567,42.690539074,23.343603418,586.805,0.12,-0.036,3,286.3106
64,2014-11-26 02:14:17.812440,42.690531563,23.343515329,584.76,0.582,0.072,3,172.0041
65,2014-11-26 02:14:19.944730,42.690531563,23.343515329,584.76,0.467,0.024,3,140.8694
66,2014-11-26 02:15:05.980676,42.690587058,23.343534668,585.451,0.297,-0.072,3,322.7666
67,2014-11-26 02:15:08.362263,42.690601695,23.3435283,585.163,0.213,-0.036,3,342.2071
68,2014-11-26 02:15:09.527195,42.690601695,23.3435283,585.163,0.0,0.0,3,0.0
69,2014-11-26 02:15:10.571241,42.690613915,23.343533135,585.166,0.0,0.0,3,0.0
70,2014-11-26 02:15:11.619788,42.690616333,23.343521932,584.875,0.0,0.0,3,0.0
71,2014-11-26 02:15:30.689016,42.690690928,23.343483724,581.79,0.12,0.036,3,106.3106
72,2014-11-26 02:15:31.743537,42.690690928,23.343483724,581.79,0.12,0.036,3,106.3106
73,2014-11-26 02:15:32.794469,42.690690928,23.343483724,581.79,0.12,0.036,3,106.3106
74,2014-11-26 02:15:33.841421,42.690693347,23.343472521,581.499,0.177,0.0,3,196.2713
75,2014-11-26 02:15:34.893565,42.690693347,23.343472521,581.499,0.177,0.0,3,196.2713
76,2014-11-26 02:15:35.939427,42.690689149,23.343461318,580.53,0.302,0.048,3,224.9865
77,2014-11-26 02:15:36.989720,42.690689149,23.343461318,580.53,0.542,0.059,3,245.5044
78,2014-11-26 02:15:39.960997,42.690693986,23.343438913,579.947,0.302,0.049,3,347.5364
79,2014-11-26 02:15:41.004535,42.690693986,23.343438913,579.947,0.302,0.049,3,347.5364
80,2014-11-26 02:15:42.053282,42.690696404,23.34342771,579.656,0.4,-0.109,3,312.5354
81,2014-11-26 02:15:43.096038,42.690696404,23.34342771,579.656,0.177,0.0,3,16.2713
82,2014-11-26 02:15:44.148476,42.690702008,23.343432545,578.981,0.213,0.037,3,50.3601
83,2014-11-26 02:15:45.201179,42.690699589,23.343443747,579.272,0.467,0.025,3,71.6844
84,2014-11-26 02:15:46.248337,42.690699589,23.343443747,579.272,0.375,-0.011,3,61.2404
85,2014-11-26 02:15:47.292693,42.690705193,23.343448582,578.598,0.279,-0.012,3,87.8144
86,2014-11-26 02:15:48.344374,42.690702774,23.343459785,578.889,0.279,-0.012,3,87.8144
87,2014-11-26 02:15:49.396366,42.690702774,23.343459785,578.889,0.354,0.001,3,16.2713
88,2014-11-26 02:15:50.445364,42.690708378,23.34346462,578.214,0.177,0.0,3,16.2713
